0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/nav3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/nav4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/title_shop.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/banner_fabric.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/banner_sky_town.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/btn_more1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/photo_product1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/photo_product2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/photo_product3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/photo_product4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/btn_more2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/dot1.gif HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/title_new_product.gif HTTP/1.1" 200 1907
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/gallery1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/gallery3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/gallery2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/gallery4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/bottom_logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:50 +0900] "GET /JavaWebPrj/ch04/images/bottom_sign.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:55:52 +0900] "GET /JavaWebPrj/ch04/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:02:21 +0900] "GET /JavaWebPrj/ch04/exam1.jsp HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:02:22 +0900] "GET /JavaWebPrj/ch04/css/style.css HTTP/1.1" 200 4302
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:10:44 +0900] "GET /JavaWebPrj/ch04/exam1.jsp HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:10:45 +0900] "GET /JavaWebPrj/ch04/css/style.css HTTP/1.1" 200 5119
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:10:45 +0900] "GET /JavaWebPrj/ch04/images/bg_menu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:10:45 +0900] "GET /JavaWebPrj/ch04/images/title_notice.gif HTTP/1.1" 200 1678
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:10:45 +0900] "GET /JavaWebPrj/ch04/images/bullet_box.gif HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:11:49 +0900] "GET /JavaWebPrj/ch04/exam1.jsp HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:11:50 +0900] "GET /JavaWebPrj/ch04/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:13:52 +0900] "GET /JavaWebPrj/ch04/exam1.jsp HTTP/1.1" 200 5144
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:13:52 +0900] "GET /JavaWebPrj/ch04/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/exam1.jsp HTTP/1.1" 200 5144
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/label_search.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/btn_search.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/nav2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/nav1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/nav3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/nav4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/banner_sky_town.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/banner_fabric.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/title_shop.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/btn_more1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/photo_product1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/photo_product3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/photo_product2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/photo_product4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/dot1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/btn_more2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/title_new_product.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/gallery2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/gallery1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/gallery3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/gallery4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/bottom_logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:15:40 +0900] "GET /JavaWebPrj/ch04/images/bottom_sign.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:20:33 +0900] "GET /JavaWebPrj/ch04/exam1.jsp HTTP/1.1" 200 5144
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:20:34 +0900] "GET /JavaWebPrj/ch04/css/style.css HTTP/1.1" 200 5644
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/exam1.jsp HTTP/1.1" 200 5144
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/css/style.css HTTP/1.1" 200 7149
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/label_search.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/btn_search.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/nav4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/nav2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/nav3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/nav1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/title_shop.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/banner_sky_town.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/banner_fabric.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/btn_more1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/photo_product1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/photo_product2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/bg_menu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/photo_product3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/dot1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/photo_product4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/btn_more2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/title_new_product.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/title_notice.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:58 +0900] "GET /JavaWebPrj/ch04/images/bullet_box.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:59 +0900] "GET /JavaWebPrj/ch04/images/gallery2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:59 +0900] "GET /JavaWebPrj/ch04/images/gallery1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:59 +0900] "GET /JavaWebPrj/ch04/images/gallery3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:59 +0900] "GET /JavaWebPrj/ch04/images/gallery4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:59 +0900] "GET /JavaWebPrj/ch04/images/bottom_logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:58:59 +0900] "GET /JavaWebPrj/ch04/images/bottom_sign.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:12:31 +0900] "GET /JavaWebPrj/ch04/exam1.jsp HTTP/1.1" 200 5274
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:12:31 +0900] "GET /JavaWebPrj/ch04/js/main.js HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:12:31 +0900] "GET /JavaWebPrj/ch04/css/style.css HTTP/1.1" 304 -
